
This is a live sample of trace from HI-406BT - http://localhost:50000/console/output  with "Level" box checked.

View	Row	Time	Level	Description
	78	06:29:50	*	$GPGGA,062956.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*65
	79	06:29:51	*	$GPGSA,A,3,32,13,20,16,30,,,,,,,,6.2,2.0,5.9*3D
	80	06:29:51	*	$GPGSV,3,1,12,20,67,194,28,23,56,333,17,16,54,112,27,32,49,154,27*72
	81	06:29:51	*	$GPGSV,3,2,12,30,44,062,26,13,33,306,30,07,19,243,18,31,14,048,15*70
	82	06:29:51	*	$GPGSV,3,3,12,01,09,205,10,04,09,304,16,03,05,134,,06,03,120,*7F
	83	06:29:51	*	$GPRMC,062956.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*64
	84	06:29:51	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	85	06:29:51	*	$GPGGA,062957.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*64
	86	06:29:52	*	$GPRMC,062957.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*65
	87	06:29:52	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	88	06:29:53	*	$GPGGA,062958.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6B
	89	06:29:53	*	$GPRMC,062958.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6A
	90	06:29:53	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	91	06:29:53	*	$GPGGA,062959.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6A
	92	06:29:54	*	$GPRMC,062959.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6B
	93	06:29:54	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	94	06:29:54	*	$GPGGA,063000.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6E
	95	06:29:54	*	$GPRMC,063000.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6F
	96	06:29:55	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	97	06:29:55	*	$GPGGA,063001.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6F
	98	06:29:55	*	$GPGSA,A,3,32,13,20,16,30,,,,,,,,6.2,2.0,5.9*3D
	99	06:29:56	*	$GPGSV,3,1,12,20,67,194,29,23,56,333,16,16,54,112,28,32,49,154,26*7C
	100	06:29:56	*	$GPGSV,3,2,12,30,44,062,26,13,33,306,30,07,19,243,17,31,14,048,11*7B
	101	06:29:56	*	$GPGSV,3,3,12,01,09,205,12,04,09,304,16,03,05,134,,06,03,120,*7D
	102	06:29:56	*	$GPRMC,063001.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6E
	103	06:29:56	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	104	06:29:56	*	$GPGGA,063002.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6C
	105	06:29:56	*	$GPRMC,063002.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6D
	106	06:29:57	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	107	06:29:57	*	$GPGGA,063003.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6D
	108	06:29:57	*	$GPRMC,063003.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6C
	109	06:29:58	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	110	06:29:58	*	$GPGGA,063004.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6A
	111	06:29:59	*	$GPRMC,063004.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6B
	112	06:29:59	*	$GPVTG,,T,,M,0.00,N,0.0,K,A*13
	113	06:29:59	*	$GPGGA,063005.000,3334.5666,N,11739.7744,W,1,05,2.0,140.0,M,-34.4,M,,0000*6B
	114	06:30:00	*	$GPRMC,063005.000,A,3334.5666,N,11739.7744,W,0.00,,021211,,,A*6A
